[GIN] 2022/08/18 - 17:02:05 | 200 |     484.061µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:02:05 | 200 |    1.947294ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:02:05 | 200 |     572.321µs |    192.168.1.19 | GET      "/ws/getUserList?uid=12"
[GIN] 2022/08/18 - 17:02:05 | 200 |      486.75µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=12"
[GIN] 2022/08/18 - 17:02:58 | 200 |     821.262µs |    192.168.1.19 | GET      "/ws/getUserList?uid=12"
[GIN] 2022/08/18 - 17:02:58 | 200 |     563.628µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=12"
[GIN] 2022/08/18 - 17:02:58 | 200 |      486.43µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:02:58 | 200 |      491.72µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:02:59 | 200 |     501.519µs |    192.168.1.10 | GET      "/ws/getUserList?uid=14"
[GIN] 2022/08/18 - 17:02:59 | 200 |     509.216µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=14"
[GIN] 2022/08/18 - 17:02:59 | 200 |      510.69µs |    192.168.1.10 | GET      "/ws/getUserList?uid=13"
[GIN] 2022/08/18 - 17:02:59 | 200 |     375.297µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=13"
[GIN] 2022/08/18 - 17:03:01 | 200 |    1.896416ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:03:01 | 200 |     626.589µs |    192.168.1.19 | GET      "/ws/getUserList?uid=12"
[GIN] 2022/08/18 - 17:03:01 | 200 |     473.476µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=12"
[GIN] 2022/08/18 - 17:04:05 | 200 |    1.672744ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:04:05 | 200 |     609.804µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:04:05 | 200 |     528.429µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:04:25 | 200 |     446.706µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:04:25 | 200 |     544.246µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:04:25 | 200 |      549.19µs |    192.168.1.10 | GET      "/ws/getUserList?uid=14"
[GIN] 2022/08/18 - 17:04:25 | 200 |     387.309µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=14"
[GIN] 2022/08/18 - 17:04:25 | 200 |     450.924µs |    192.168.1.10 | GET      "/ws/getUserList?uid=13"
[GIN] 2022/08/18 - 17:04:25 | 200 |     426.306µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=13"
[GIN] 2022/08/18 - 17:04:27 | 200 |    2.200211ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:04:27 | 200 |     744.278µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:04:27 | 200 |     420.623µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:04:43 | 200 |     513.903µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:04:43 | 200 |     468.775µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:04:44 | 200 |      254.65µs |    192.168.1.10 | GET      "/ws/getUserList?uid=14"
[GIN] 2022/08/18 - 17:04:44 | 200 |     339.005µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=14"
[GIN] 2022/08/18 - 17:04:44 | 200 |     174.097µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=13"
[GIN] 2022/08/18 - 17:04:44 | 200 |     312.653µs |    192.168.1.10 | GET      "/ws/getUserList?uid=13"
[GIN] 2022/08/18 - 17:04:46 | 200 |    2.051091ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:04:46 | 200 |     649.043µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:04:46 | 200 |     579.886µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:05:12 | 200 |     591.889µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:05:12 | 200 |     447.868µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:05:12 | 200 |     494.246µs |    192.168.1.10 | GET      "/ws/getUserList?uid=14"
[GIN] 2022/08/18 - 17:05:12 | 200 |     586.629µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=14"
[GIN] 2022/08/18 - 17:05:12 | 200 |     560.322µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=13"
[GIN] 2022/08/18 - 17:05:12 | 200 |     806.135µs |    192.168.1.10 | GET      "/ws/getUserList?uid=13"
[GIN] 2022/08/18 - 17:05:15 | 200 |    1.449156ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:05:15 | 200 |     455.814µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:05:15 | 200 |     343.982µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:05:30 | 200 |     494.226µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:05:30 | 200 |     525.028µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:05:30 | 200 |     746.207µs |    192.168.1.10 | GET      "/ws/getUserList?uid=14"
[GIN] 2022/08/18 - 17:05:30 | 200 |     626.258µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=14"
[GIN] 2022/08/18 - 17:05:30 | 200 |     594.549µs |    192.168.1.10 | GET      "/ws/getUserList?uid=13"
[GIN] 2022/08/18 - 17:05:30 | 200 |     541.828µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=13"
[GIN] 2022/08/18 - 17:06:03 | 200 |      251.49µs |    192.168.1.10 | GET      "/ws/getUserList?uid=14"
[GIN] 2022/08/18 - 17:06:03 | 200 |     340.832µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=14"
[GIN] 2022/08/18 - 17:06:03 | 200 |      242.41µs |    192.168.1.10 | GET      "/ws/getUserList?uid=13"
[GIN] 2022/08/18 - 17:06:03 | 200 |     249.662µs |    192.168.1.10 | GET      "/ws/updateMsg?uid=13"
[GIN] 2022/08/18 - 17:06:03 | 200 |     318.555µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:06:03 | 200 |     557.541µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:06:05 | 200 |    2.122931ms |    192.168.1.19 | POST     "/root/active"
[GIN] 2022/08/18 - 17:06:05 | 200 |     654.488µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:06:05 | 200 |     640.456µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
[GIN] 2022/08/18 - 17:06:29 | 200 |     597.932µs |    192.168.1.19 | GET      "/ws/getUserList?uid=15"
[GIN] 2022/08/18 - 17:06:29 | 200 |     642.493µs |    192.168.1.19 | GET      "/ws/updateMsg?uid=15"
